"NAPS","Time","O3","NO2"
60435,2019-01-01 00:00:00,8,10
60435,2019-01-01 01:00:00,5,14
60435,2019-01-01 02:00:00,9,8
60435,2019-01-01 03:00:00,12,6
60435,2019-01-01 04:00:00,13,7
60435,2019-01-01 05:00:00,17,5
60435,2019-01-01 06:00:00,19,5
60435,2019-01-01 07:00:00,-999,7
60435,2019-01-01 08:00:00,13,10
60435,2019-01-01 09:00:00,18,5
60435,2019-01-01 10:00:00,19,4
60435,2019-01-01 11:00:00,19,4
60435,2019-01-01 12:00:00,20,4
60435,2019-01-01 13:00:00,20,5
60435,2019-01-01 14:00:00,22,5
60435,2019-01-01 15:00:00,24,5
60435,2019-01-01 16:00:00,25,5
60435,2019-01-01 17:00:00,26,6
60435,2019-01-01 18:00:00,28,6
60435,2019-01-01 19:00:00,29,7
60435,2019-01-01 20:00:00,28,9
60435,2019-01-01 21:00:00,28,9
60435,2019-01-01 22:00:00,26,10
60435,2019-01-01 23:00:00,24,12
60435,2019-01-02 00:00:00,26,10
60435,2019-01-02 01:00:00,24,11
60435,2019-01-02 02:00:00,24,11
60435,2019-01-02 03:00:00,22,13
60435,2019-01-02 04:00:00,27,8
60435,2019-01-02 05:00:00,21,15
60435,2019-01-02 06:00:00,12,27
60435,2019-01-02 07:00:00,10,30
60435,2019-01-02 08:00:00,10,29
60435,2019-01-02 09:00:00,10,29
60435,2019-01-02 10:00:00,9,31
60435,2019-01-02 11:00:00,9,32
60435,2019-01-02 12:00:00,13,27
60435,2019-01-02 13:00:00,21,16
60435,2019-01-02 14:00:00,17,18
60435,2019-01-02 15:00:00,14,21
60435,2019-01-02 16:00:00,19,14
60435,2019-01-02 17:00:00,21,11
60435,2019-01-02 18:00:00,21,9
60435,2019-01-02 19:00:00,20,10
60435,2019-01-02 20:00:00,20,8
60435,2019-01-02 21:00:00,18,7
60435,2019-01-02 22:00:00,15,10
60435,2019-01-02 23:00:00,-999,13
60435,2019-01-03 00:00:00,9,14
60435,2019-01-03 01:00:00,2,24
60435,2019-01-03 02:00:00,3,24
60435,2019-01-03 03:00:00,5,20
60435,2019-01-03 04:00:00,10,17
60435,2019-01-03 05:00:00,16,14
60435,2019-01-03 06:00:00,18,13
