"Date","temperature","NO2","O3"
43107,-20.5,43,2
43107.0416666667,-20.6,47,1
43107.0833333333,-18.6,47,1
43107.125,-19.1,-999,-999
43107.1666666667,-18.1,46,1
43107.2083333333,-18,48,1
43107.25,-17.5,40,5
43107.2916666667,-16.5,21,21
43107.3333333333,-15.5,21,22
43107.375,-14.5,15,23
43107.4166666667,-12.2,11,27
43107.4583333333,-11.3,13,26
43107.5,-10.8,11,29
43107.5416666667,-10.4,9,31
43107.5833333333,-10,9,32
43107.625,-9.5,11,30
43107.6666666667,-9,15,26
43107.7083333333,-8.1,13,28
43107.75,-7.6,14,27
43107.7916666667,-7.1,14,27
43107.8333333333,-6,13,28
43107.875,-4.8,15,26
43107.9166666667,-4,11,29
43107.9583333333,-3.4,12,27
43108,-2.2,12,27
43108.0416666667,-2.3,10,29
43108.0833333333,-2.5,10,27
43108.125,-2.5,11,25
43108.1666666667,-2.5,11,25
43108.2083333333,-2.3,13,24
43108.25,-2.3,15,22
43108.2916666667,-2.4,15,20
43108.3333333333,-1.9,15,21
43108.375,-1.1,13,22
43108.4166666667,0,16,20
43108.4583333333,1.1,17,19
43108.5,1.2,17,19
43108.5416666667,1.9,19,16
43108.5833333333,1.8,15,17
43108.625,1.8,16,16
43108.6666666667,1.8,17,17
43108.7083333333,1.8,18,16
43108.75,2,19,16
43108.7916666667,2.1,12,25
43108.8333333333,2,12,25
43108.875,1.9,8,29
43108.9166666667,1.4,7,29
43108.9583333333,1,7,28
43109,0.6,8,28
43109.0416666667,0.2,10,27
43109.0833333333,0.1,12,26
43109.125,0.5,12,25
43109.1666666667,0.4,9,26
43109.2083333333,-0.4,9,24
43109.25,-0.6,11,22
43109.2916666667,-1.3,17,16
43109.3333333333,-1.2,19,15
43109.375,-1.1,20,13
43109.4166666667,-0.8,16,17
43109.4583333333,-1.1,12,20
43109.5,-1.2,14,18
43109.5416666667,-0.9,14,18
43109.5833333333,-0.8,13,18
43109.625,-0.8,16,15
43109.6666666667,-1,22,9
43109.7083333333,-0.9,23,8
43109.75,-1.1,21,9
43109.7916666667,-1.2,26,5
43109.8333333333,-1.3,28,3
43109.875,-1.8,28,4
43109.9166666667,-1.6,31,2
43109.9583333333,-1.3,22,10
43110,-1.5,18,15
43110.0416666667,-2.5,11,21
43110.0833333333,-3.3,8,25
43110.125,-3.5,8,26
43110.1666666667,-3.9,12,21
43110.2083333333,-4.7,16,19
43110.25,-3.3,16,20
43110.2916666667,-3,21,-999
43110.3333333333,-3,15,24
43110.375,-1.7,6,32
43110.4166666667,-0.3,6,31
43110.4583333333,0,7,30
43110.5,0.7,5,32
43110.5416666667,0.5,5,32
43110.5833333333,0.5,6,31
43110.625,0.3,9,29
43110.6666666667,0,10,28
43110.7083333333,0.3,10,28
43110.75,1,11,26
43110.7916666667,1.4,14,22
43110.8333333333,1.8,16,19
43110.875,1.9,18,17
43110.9166666667,2.4,19,15
43110.9583333333,4.1,24,10
43111,4.5,31,4
43111.0416666667,6.6,19,15
43111.0833333333,4.5,15,17
43111.125,4.8,15,18
43111.1666666667,5.1,11,23
43111.2083333333,5.6,13,22
43111.25,7.8,14,21
43111.2916666667,8.3,19,18
43111.3333333333,9,18,18
43111.375,9.4,19,19
43111.4166666667,10,15,23
43111.4583333333,10.6,13,25
43111.5,11.4,12,26
43111.5416666667,11.7,14,24
43111.5833333333,12.3,18,22
43111.625,12.4,24,18
43111.6666666667,11.8,21,20
43111.7083333333,9.8,16,23
43111.75,10.5,11,26
43111.7916666667,10.5,11,25
43111.8333333333,10.5,11,24
43111.875,10.2,9,26
43111.9166666667,10.2,7,27
43111.9583333333,10.1,6,29
43112,9.9,6,28
43112.0416666667,10.4,6,27
43112.0833333333,10.3,6,26
43112.125,10.4,6,25
43112.1666666667,11.2,7,24
43112.2083333333,12.1,8,22
43112.25,11.9,13,18
43112.2916666667,11.5,19,12
43112.3333333333,10.8,18,8
43112.375,5,10,8
43112.4166666667,3.5,8,13
43112.4583333333,2.6,9,17
43112.5,0.1,8,20
43112.5416666667,-2,9,22
43112.5833333333,-4.3,9,24
43112.625,-6.6,9,26
43112.6666666667,-7.9,8,27
43112.7083333333,-8.3,9,26
43112.75,-8.8,7,-999
43112.7916666667,-9.4,7,32
43112.8333333333,-9.7,7,32
43112.875,-10.6,7,33
43112.9166666667,-10.9,6,34
43112.9583333333,-11.6,6,34
43113,-12.1,5,34
43113.0416666667,-12.4,4,35
43113.0833333333,-12.8,3,35
43113.125,-13.2,4,35
43113.1666666667,-13.4,3,36
43113.2083333333,-13.6,4,35
43113.25,-13.8,5,34
43113.2916666667,-14.1,5,32
43113.3333333333,-14.1,6,31
43113.375,-14,8,29
43113.4166666667,-13.5,7,29
43113.4583333333,-12.8,7,29
43113.5,-12.2,7,29
43113.5416666667,-12.1,6,30
43113.5833333333,-11.9,6,31
43113.625,-12.4,7,31
43113.6666666667,-12.6,7,31
43113.7083333333,-12.8,9,30
43113.75,-13.5,10,29
43113.7916666667,-13.9,11,28
43113.8333333333,-14.2,13,25
43113.875,-14.6,14,24
43113.9166666667,-14.7,14,23
43113.9583333333,-14.9,15,22
